seqnames	start	end	width	strand
NC_000001.11	1013983	1013983	1	*
NC_000001.11	1014143	1014143	1	*
NC_000001.11	1022368	1022368	1	*
NC_000001.11	1041582	1041582	1	*
NC_000001.11	1041975	1041975	1	*
NC_000001.11	1042053	1042053	1	*
NC_000001.11	1043197	1043197	1	*
NC_000001.11	1043668	1043668	1	*
NC_000001.11	1044111	1044111	1	*
NC_000001.11	1044436	1044436	1	*
NC_000001.11	1045487	1045487	1	*
NC_000001.11	1047868	1047868	1	*
NC_000001.11	1049326	1049326	1	*
NC_000001.11	1049795	1049795	1	*
NC_000001.11	1050461	1050461	1	*
NC_000001.11	1050473	1050473	1	*
NC_000001.11	1050575	1050575	1	*
NC_000001.11	1232279	1232279	1	*
NC_000001.11	1232279	1232279	1	*
NC_000001.11	1232280	1232280	1	*
NC_000001.11	1232281	1232281	1	*
NC_000001.11	1232362	1232362	1	*
NC_000001.11	1232471	1232471	1	*
NC_000001.11	1232478	1232478	1	*
NC_000001.11	1232513	1232513	1	*
NC_000001.11	1232738	1232738	1	*
NC_000001.11	1232744	1232744	1	*
NC_000001.11	1232754	1232754	1	*
NC_000001.11	1232834	1232834	1	*
NC_000001.11	1232855	1232855	1	*
NC_000001.11	1232896	1232896	1	*
NC_000001.11	1232897	1232897	1	*
NC_000001.11	1232914	1232914	1	*
NC_000001.11	1232927	1232927	1	*
NC_000001.11	1233044	1233044	1	*
NC_000001.11	1233177	1233177	1	*
NC_000001.11	1233203	1233203	1	*
NC_000001.11	1312841	1312841	1	*
NC_000001.11	1319313	1319313	1	*
NC_000001.11	1320529	1320529	1	*
NC_000001.11	1321072	1321072	1	*
NC_000001.11	1516036	1516036	1	*
NC_000001.11	1518966	1518966	1	*
NC_000001.11	1525242	1525242	1	*
NC_000001.11	1529299	1529299	1	*
NC_000001.11	1535372	1535372	1	*
NC_000001.11	1535392	1535392	1	*
NC_000001.11	1787438	1787438	1	*
NC_000001.11	1804461	1804461	1	*
NC_000001.11	1804496	1804496	1	*
NC_000001.11	1804497	1804497	1	*
NC_000001.11	1804508	1804508	1	*
NC_000001.11	1804548	1804548	1	*
NC_000001.11	1804562	1804562	1	*
NC_000001.11	1804565	1804565	1	*
NC_000001.11	1804575	1804575	1	*
NC_000001.11	1804582	1804582	1	*
NC_000001.11	1806503	1806503	1	*
NC_000001.11	1806503	1806503	1	*
NC_000001.11	1806503	1806503	1	*
NC_000001.11	1806509	1806509	1	*
NC_000001.11	1806512	1806512	1	*
NC_000001.11	1806512	1806512	1	*
NC_000001.11	1806513	1806513	1	*
NC_000001.11	1806513	1806513	1	*
NC_000001.11	1806513	1806513	1	*
NC_000001.11	1806514	1806514	1	*
NC_000001.11	1806515	1806515	1	*
NC_000001.11	1806516	1806516	1	*
NC_000001.11	1806525	1806525	1	*
NC_000001.11	1806525	1806525	1	*
NC_000001.11	1923833	1923833	1	*
NC_000001.11	1927024	1927024	1	*
NC_000001.11	1970722	1970722	1	*
NC_000001.11	1974047	1974047	1	*
NC_000001.11	2029197	2029197	1	*
NC_000001.11	2228825	2228825	1	*
NC_000001.11	2228825	2228825	1	*
NC_000001.11	2228828	2228828	1	*
NC_000001.11	2228848	2228848	1	*
NC_000001.11	2228857	2228857	1	*
NC_000001.11	2228860	2228860	1	*
NC_000001.11	2228866	2228866	1	*
NC_000001.11	2228866	2228866	1	*
NC_000001.11	2228866	2228866	1	*
NC_000001.11	2228867	2228867	1	*
