Variant_Index	Reference_Index
1	704
1	706
1	707
1	708
1	713
2	704
2	706
2	707
2	708
2	710
2	712
2	713
3	722
3	723
3	725
3	764
3	802
3	804
3	841
3	887
3	888
4	722
4	723
4	729
4	768
4	802
4	808
4	845
4	879
5	722
5	723
5	730
5	769
5	802
5	809
5	846
5	879
5	882
6	722
6	723
6	730
6	769
6	802
6	809
6	846
6	879
6	882
7	722
7	723
7	802
7	879
7	882
7	885
8	722
8	723
8	732
8	771
8	802
8	811
8	848
8	879
8	882
8	885
9	722
9	723
9	734
9	773
9	802
9	813
9	850
9	879
9	882
9	885
10	722
10	723
10	735
10	774
10	802
10	814
10	851
10	879
10	882
10	885
11	722
11	723
11	737
11	776
11	802
11	816
11	853
11	879
11	882
11	885
12	722
12	723
12	745
12	784
12	802
12	824
12	861
12	879
12	882
12	885
13	722
13	723
13	748
13	787
13	802
13	827
13	864
13	879
13	882
13	885
14	722
14	723
14	749
14	788
14	802
14	828
14	865
14	879
14	882
14	885
15	722
15	723
15	752
15	791
15	802
15	831
15	868
15	879
15	882
15	885
16	722
16	723
16	752
16	791
16	802
16	831
16	868
16	879
16	882
16	885
17	722
17	723
17	752
17	791
17	802
17	831
17	868
17	879
17	882
17	885
18	1288
18	1289
18	1290
18	1291
18	1292
18	1293
18	1294
19	1288
19	1289
19	1290
19	1291
19	1292
19	1293
19	1294
20	1288
20	1289
20	1290
20	1291
20	1292
20	1293
20	1294
21	1288
21	1289
21	1290
21	1291
21	1292
21	1293
21	1294
22	1288
22	1290
22	1291
22	1292
22	1293
22	1294
23	1288
23	1290
23	1291
23	1292
23	1293
23	1294
24	1288
24	1290
24	1291
24	1292
24	1293
24	1294
25	1288
25	1290
25	1291
25	1292
25	1293
25	1294
26	1291
26	1292
26	1293
26	1294
26	1295
26	1296
27	1291
27	1292
27	1293
27	1294
27	1295
27	1296
28	1291
28	1292
28	1293
28	1294
28	1295
28	1296
29	1291
29	1292
29	1293
29	1294
29	1295
29	1296
30	1291
30	1292
30	1293
30	1294
30	1295
30	1296
31	1291
31	1292
31	1293
31	1294
31	1295
31	1296
32	1291
32	1292
32	1293
32	1294
32	1295
32	1296
33	1291
33	1292
33	1293
33	1294
33	1295
33	1296
34	1291
34	1292
34	1293
34	1294
34	1295
34	1296
35	1291
35	1292
35	1293
35	1294
35	1295
35	1296
36	1291
36	1292
36	1293
36	1294
36	1295
36	1296
37	1291
37	1292
37	1293
37	1294
37	1295
37	1296
38	1672
38	1673
38	1683
38	1698
38	1710
38	1724
38	1743
38	1759
39	1672
39	1673
39	1705
39	1707
39	1710
39	1716
39	1735
39	1759
39	1761
39	1762
39	1772
39	1773
40	1672
40	1673
40	1704
40	1706
40	1710
40	1715
40	1734
40	1759
41	1672
41	1673
41	1675
41	1690
41	1710
41	1714
41	1733
41	1759
41	1760
42	2353
42	2354
42	2357
42	2373
42	2388
42	2390
42	2406
42	2423
42	2429
42	2432
43	2353
43	2354
43	2360
43	2376
43	2388
43	2393
43	2409
43	2423
43	2429
43	2432
44	2353
44	2354
44	2367
44	2383
44	2388
44	2400
44	2416
44	2423
44	2429
44	2432
45	2353
45	2354
45	2370
45	2386
45	2388
45	2403
45	2419
45	2423
45	2425
45	2432
46	2435
46	2436
46	2440
46	2444
47	2435
47	2436
47	2440
47	2444
48	3012
48	3013
48	3035
48	3066
48	3068
48	3070
48	3072
48	3074
48	3076
48	3078
48	3080
48	3082
48	3084
48	3086
49	3012
49	3013
49	3018
49	3027
49	3035
49	3041
49	3051
49	3057
49	3066
49	3068
49	3070
49	3072
49	3074
49	3076
49	3078
49	3080
49	3082
49	3084
49	3086
50	3012
50	3013
50	3018
50	3027
50	3035
50	3041
50	3051
50	3057
50	3066
50	3068
50	3070
50	3072
50	3074
50	3076
50	3078
50	3080
50	3082
50	3084
50	3086
51	3012
51	3013
51	3018
51	3027
51	3035
51	3041
51	3051
51	3057
51	3066
51	3068
51	3070
51	3072
51	3074
51	3076
51	3078
51	3080
51	3082
51	3084
51	3086
52	3012
52	3013
52	3018
52	3027
52	3035
52	3041
52	3051
52	3057
52	3066
52	3068
52	3070
52	3072
52	3074
52	3076
52	3078
52	3080
52	3082
52	3084
52	3086
53	3012
53	3013
53	3018
53	3027
53	3035
53	3041
53	3051
53	3057
53	3066
53	3068
53	3070
53	3072
53	3074
53	3076
53	3078
53	3080
53	3082
53	3084
53	3086
54	3012
54	3013
54	3018
54	3027
54	3035
54	3041
54	3051
54	3066
54	3068
54	3070
54	3072
54	3074
54	3076
54	3078
54	3080
54	3082
54	3084
54	3086
55	3012
55	3013
55	3018
55	3027
55	3035
55	3041
55	3051
55	3066
55	3068
55	3070
55	3072
55	3074
55	3076
55	3078
55	3080
55	3082
55	3084
55	3086
56	3012
56	3013
56	3018
56	3027
56	3035
56	3041
56	3051
56	3066
56	3068
56	3070
56	3072
56	3074
56	3076
56	3078
56	3080
56	3082
56	3084
56	3086
57	3012
57	3013
57	3035
57	3066
57	3068
57	3070
57	3072
57	3074
57	3076
57	3078
57	3080
57	3082
57	3084
57	3086
58	3012
58	3013
58	3017
58	3026
58	3035
58	3040
58	3050
58	3066
58	3068
58	3070
58	3072
58	3074
58	3076
58	3078
58	3080
58	3082
58	3084
58	3086
59	3012
59	3013
59	3017
59	3026
59	3035
59	3040
59	3050
59	3066
59	3068
59	3070
59	3072
59	3074
59	3076
59	3078
59	3080
59	3082
59	3084
59	3086
60	3012
60	3013
60	3017
60	3026
60	3035
60	3040
60	3050
60	3066
60	3068
60	3070
60	3072
60	3074
60	3076
60	3078
60	3080
60	3082
60	3084
60	3086
61	3012
61	3013
61	3017
61	3026
61	3035
61	3040
61	3050
61	3066
61	3068
61	3070
61	3072
61	3074
61	3076
61	3078
61	3080
61	3082
61	3084
61	3086
62	3012
62	3013
62	3017
62	3026
62	3035
62	3040
62	3050
62	3066
62	3068
62	3070
62	3072
62	3074
62	3076
62	3078
62	3080
